Application_ID,Applicant_Name,Email,Phone_Number,CNIC,Age,Gender,University,Degree,CGPA,Experience_Years,Skills,City,IP_Address,Device_ID,Submission_Date,Submission_Time,Submission_Duration,Resume_Uploaded,Email_Verified,Phone_Verified,Internship_Position,Is_Injected_Anomaly
APP0013,Lisa Hensley,lisa.hensley413@gmail.com,343135534,35144-8053918-6,22,Other,Bahauddin Zakariya University,BBA,2.89,2.5,"HTML/CSS, Deep Learning, Data Visualization, Pandas",Peshawar,114.226.109.131,DEV-R62GDSWM31,5/31/2026,3:19:47,410,Yes,Yes,Yes,Software QA Intern,0
APP0014,Michele Williams,michele.williams626@gmail.com,318640615,64321-4262081-6,27,Female,FAST-NUCES,BS Software Engineering,3.32,0,"Data Visualization, JavaScript",Islamabad,206.237.25.143,DEV-I4Q2Y9V86W,6/19/2026,0:13:06,616,Yes,Yes,No,Software QA Intern,0
APP0015,Dylan Miller,dylan.miller461@gmail.com,345147994,93579-5652512-8,27,Other,FAST-NUCES,BBA,2.95,2.1,"React, Pandas, Figma",Sialkot,21.70.77.60,DEV-NFHOLQC3O1,5/2/2026,21:30:45,1057,Yes,Yes,Yes,Business Analyst Intern,0
APP0016,Brian Ramirez,daniel.baker32@gmail.com,368030010,80545-4700025-7,23,Female,Punjab University College of IT,BS Statistics,2.25,1,"Machine Learning, Statistics, Tableau, Python, Scikit-learn",Gujranwala,145.13.42.165,DEV-P5GJLQM5K8,6/10/2026,22:19:02,438,Yes,Yes,Yes,Data Analytics Intern,1
APP0017,Holly Wood,holly.wood975@gmail.com,354761823,95215-2151225-0,20,Male,FAST-NUCES,BS Information Technology,3.26,0.7,"Power BI, Figma, Deep Learning, Statistics, React",Sargodha,43.58.83.247,DEV-LU7U6N7HV3,5/24/2026,13:52:48,284,Yes,Yes,Yes,Machine Learning Intern,0
APP0018,Derek Zuniga,derek.zuniga816@gmail.com,391689025,55508-9937982-6,15,Male,Virtual University of Pakistan,BS Artificial Intelligence,2.22,1.3,"Power BI, Data Visualization, NumPy, Statistics, Tableau",Rawalpindi,46.138.247.120,DEV-P0J43D5IQV,6/6/2026,19:06:32,524,Yes,No,Yes,Backend Developer Intern,1
APP0019,Lisa Jackson,lisa.jackson364@gmail.com,346709938,46655-5635017-8,20,Other,FAST-NUCES,BS Computer Science,2.61,1.2,"Java, Git, Statistics",Lahore,24.150.113.104,DEV-YLURTP0LZJ,5/25/2026,9:48:46,416,Yes,Yes,Yes,Frontend Developer Intern,0
APP0020,Carla Gray,carla.gray197@gmail.com,339123504,46241-9801946-9,24,Male,Islamia University Bahawalpur,BS Data Science,2.7,1.1,"Python, Node.js, Tableau, React",Lahore,14.149.64.164,DEV-5R5UQPGB7R,5/7/2026,8:15:40,590,Yes,Yes,Yes,Frontend Developer Intern,0
APP0021,Margaret Hawkins DDS,margaret.hawkins.dds153@gmail.com,396097514,21164-5163953-1,26,Other,Bahauddin Zakariya University,BS Data Science,3.52,1.1,"HTML/CSS, Figma, Data Visualization, Git, SQL",Gujranwala,190.50.106.161,DEV-HXFGCAQVKI,5/28/2026,10:46:53,899,Yes,Yes,Yes,UI/UX Intern,0
APP0022,Patty Perez,patty.perez807@gmail.com,394318855,65723-2925626-8,23,Other,LUMS,BBA,3.61,0.2,"HTML/CSS, Figma, Git",Peshawar,32.239.155.180,DEV-OJTPV60VAI,6/25/2026,20:18:39,781,No,No,Yes,UI/UX Intern,0
APP0023,Ethan Adams,ethan.adams591@gmail.com,303939212,71669-9706768-7,24,Male,Bahauddin Zakariya University,MSc IT,3.28,1.5,"Java, NumPy",Rawalpindi,86.164.53.220,DEV-FORXO1BDJE,6/9/2026,5:47:46,1065,Yes,No,Yes,Software QA Intern,0
APP0024,Tommy Walter,tommy.walter424@gmail.com,304147112,77952-7069650-9,27,Other,GC University Lahore,BS Information Technology,4.8,1.6,"Statistics, Java, Power BI, Python",Bahawalpur,156.122.81.80,DEV-TTD96QE3RZ,6/19/2026,9:45:27,902,Yes,Yes,No,Backend Developer Intern,1
APP0025,Matthew Foster,matthew.foster468@gmail.com,383426689,60277-4197911-9,22,Male,UET Lahore,MSc IT,2.78,2.4,"Python, HTML/CSS, Figma, Java",Islamabad,115.247.176.86,DEV-TTQLGZUI1B,6/15/2026,22:06:52,902,Yes,Yes,No,Frontend Developer Intern,0
APP0026,Judy Baker,judy.baker508@gmail.com,303118060,75836-6569946-1,27,Male,Virtual University of Pakistan,BS Statistics,2.23,0.4,"Excel, Java, React",Sargodha,160.203.41.219,DEV-LYT8W5RTWI,5/28/2026,21:38:29,412,Yes,Yes,Yes,Machine Learning Intern,0
APP0027,Justin Baker,justin.baker455@gmail.com,326024207,13794-1771600-5,20,Female,COMSATS University Islamabad,BS Artificial Intelligence,2.93,0.7,"Figma, Machine Learning, Git, Node.js, Excel",Gujranwala,223.195.123.128,DEV-6FQJJA26YF,6/12/2026,21:18:17,1147,Yes,Yes,Yes,Data Science Intern,0
APP0028,Stephanie Ross,stephanie.ross707@gmail.com,348664433,49599-4342306-6,27,Male,FAST-NUCES,MSc IT,3.17,1.7,"Python, Scikit-learn, React, Git",Gujranwala,222.25.254.214,DEV-6K2VMWWYZX,5/14/2026,6:43:07,823,Yes,Yes,Yes,Software QA Intern,0
APP0029,Zachary Hicks,zachary.hicks35@gmail.com,397121355,27224-2512187-4,25,Other,Punjab University College of IT,BS Software Engineering,2.54,2.4,"C++, Git, React, Machine Learning",Multan,212.246.151.192,DEV-52QC1IYYO4,6/24/2026,2:37:57,554,Yes,Yes,Yes,Machine Learning Intern,0
APP0030,Anthony Rodriguez,anthony.rodriguez466@gmail.com,355398338,86619-7392547-5,21,Other,FAST-NUCES,BS Statistics,2.24,2.7,"Git, JavaScript, Excel, Statistics",Hyderabad,78.209.59.36,DEV-BB9EITNN8Z,6/22/2026,10:44:23,609,Yes,Yes,No,Machine Learning Intern,0
APP0031,Rebecca Henderson,rebecca.henderson854@gmail.com,377847048,46666-1548888-5,23,Female,GC University Lahore,BS Data Science,3.65,0.3,"Node.js, NumPy, SQL, Scikit-learn",Multan,49.62.232.24,DEV-XXVA2IEUC1,5/21/2026,2:42:41,780,Yes,No,Yes,Frontend Developer Intern,0
APP0032,James Ferrell,james.ferrell808@gmail.com,391047572,46342-3427461-2,24,Male,University of the Punjab,BS Information Technology,2.42,1.1,"Figma, Pandas, Python",Islamabad,68.26.64.190,DEV-PECQNVQHW0,6/20/2026,15:04:09,488,Yes,No,Yes,Software QA Intern,0
APP0033,Tricia Valencia,tricia.valencia868@gmail.com,325659649,99928-2811298-7,27,Male,Government College University Faisalabad,BS Computer Science,2.75,0.4,"React, Figma, Node.js",Hyderabad,84.195.150.117,DEV-SP2EX5T5P5,6/10/2026,4:15:19,527,Yes,Yes,Yes,Business Analyst Intern,1
APP0034,Nathan Maldonado,nathan.maldonado438@gmail.com,355276341,59060-3560856-7,21,Male,Islamia University Bahawalpur,BS Computer Science,2.36,0.3,"Tableau, Node.js, SQL, Pandas",Bahawalpur,32.210.181.224,DEV-X15Z8VMUHX,5/22/2026,18:31:42,1047,Yes,Yes,Yes,UI/UX Intern,0
APP0035,Debra Davidson,debra.davidson588@gmail.com,338199311,83526-1440466-9,24,Male,LUMS,BBA,3.39,0.9,"NumPy, Python, Machine Learning, Tableau",Gujranwala,169.205.35.37,DEV-08DTNQFLL7,6/27/2026,21:18:07,266,Yes,Yes,Yes,Data Analytics Intern,0
APP0036,Jeffrey Chavez,jeffrey.chavez691@gmail.com,315565128,68079-8113787-7,27,Female,UET Lahore,BS Data Science,3.48,0.3,"Power BI, HTML/CSS, Java, C++, Figma",Lahore,57.202.28.2,DEV-H811KERPET,5/23/2026,8:11:48,692,Yes,Yes,Yes,Data Science Intern,0
APP0037,Sherri Baker,sherri.baker883@gmail.com,308318550,12456-8713396-1,25,Other,Punjab University College of IT,MSc IT,3.41,1.3,"Scikit-learn, Python",Sargodha,44.235.185.23,DEV-PDPOC50H2C,5/12/2026,1:42:04,723,Yes,No,Yes,Frontend Developer Intern,0
APP0038,Cassandra Gaines,cassandra.gaines242@gmail.com,313456926,43550-4309671-2,22,Other,University of the Punjab,BS Software Engineering,3.82,1.9,"Figma, Git, Statistics, Pandas, C++",Islamabad,113.34.240.114,DEV-W2VMCQBNKX,5/9/2026,18:24:21,809,Yes,Yes,Yes,Data Analytics Intern,0
APP0039,Elizabeth Fowler,elizabeth.fowler461@gmail.com,394158134,52143-8979730-8,22,Male,GC University Lahore,BS Computer Science,3.58,2.5,"C++, Machine Learning",Lahore,8.189.219.47,DEV-N4U6AVE7E5,6/4/2026,19:26:50,6,Yes,No,No,Frontend Developer Intern,1
APP0040,Brittany Farmer,brittany.farmer342@gmail.com,313372774,55851-6204824-6,22,Other,NED University Karachi,BS Computer Science,2.73,1.1,"Tableau, C++, Excel, Data Visualization",Sialkot,93.9.185.80,DEV-GH8RIEC4D1,6/21/2026,2:54:27,218,Yes,No,Yes,Data Science Intern,0
APP0041,Paula Moreno,paula.moreno158@gmail.com,324034091,91885-3777286-7,20,Female,COMSATS University Islamabad,BS Data Science,3.85,1.8,"JavaScript, Node.js, Git, HTML/CSS, Java",Faisalabad,166.74.143.24,DEV-VV7PGF7MVQ,5/26/2026,15:56:53,7,No,No,No,UI/UX Intern,1
APP0042,Fred Smith,fred.smith86@gmail.com,325576678,68893-9612629-2,26,Male,Government College University Faisalabad,BS Data Science,3.59,2.7,"Data Visualization, SQL",Rawalpindi,129.191.120.99,DEV-9NB74X2EK3,5/14/2026,11:24:37,957,Yes,Yes,Yes,Machine Learning Intern,0
APP0043,Sherry Decker,sherry.decker20@gmail.com,344618086,29597-9854536-6,21,Female,FAST-NUCES,BBA,2.41,0.7,"Excel, Power BI, Java, Python, JavaScript",Hyderabad,184.197.62.3,DEV-WIOXD9CSS9,6/23/2026,19:16:03,200,Yes,Yes,Yes,Business Analyst Intern,1
APP0044,Anthony Humphrey,anthony.humphrey260@gmail.com,306991041,18855-6784825-3,21,Other,NED University Karachi,BS Artificial Intelligence,2.43,1.1,"Machine Learning, Statistics, Java, Git",Islamabad,17.234.18.76,DEV-H25LLO3RBX,5/28/2026,18:41:12,545,Yes,Yes,Yes,UI/UX Intern,0
APP0045,Angelica Tucker,angelica.tucker128@gmail.com,358330827,62431-8377556-6,25,Male,GC University Lahore,BS Statistics,2.82,2.4,"Excel, Data Visualization, Git, Figma",Gujranwala,211.92.150.83,DEV-DLKQZFPQ06,6/29/2026,16:42:28,625,Yes,No,No,Machine Learning Intern,0
APP0046,Philip Cannon,philip.cannon688@gmail.com,367095349,77251-3684131-0,22,Other,University of Agriculture Faisalabad,BS Statistics,2.26,0.2,"NumPy, Scikit-learn, SQL, Tableau",Bahawalpur,116.189.190.114,DEV-1UTOXIE0RN,6/24/2026,12:47:32,300,Yes,Yes,Yes,UI/UX Intern,0
APP0047,John Pierce,john.pierce711@gmail.com,374358435,26074-3277144-1,27,Male,Government College University Faisalabad,BS Statistics,3.9,2.4,"NumPy, Excel, Node.js, HTML/CSS",Multan,218.80.89.204,DEV-NI92IRMUQ9,5/13/2026,14:23:19,806,Yes,Yes,Yes,Software QA Intern,0
APP0048,Shane Henderson,shane.henderson539@gmail.com,367869154,85353-2237331-2,25,Other,University of the Punjab,BS Statistics,2.99,1.6,"Node.js, Figma, Machine Learning",Islamabad,111.28.63.133,DEV-FFLZM764JW,6/23/2026,11:33:12,461,Yes,Yes,Yes,Frontend Developer Intern,0
APP0049,Joshua Blair,joshua.blair607@gmail.com,393586950,32439-6664316-9,20,Male,University of the Punjab,BS Information Technology,3.81,2.3,"Deep Learning, Figma, Data Visualization, Python",Peshawar,161.148.154.124,DEV-I3OQYFOQMF,6/1/2026,0:03:40,931,No,Yes,Yes,Business Analyst Intern,0
APP0050,Eric Carney,eric.carney528@gmail.com,382781470,51827-5055688-7,21,Female,GC University Lahore,BS Data Science,2.44,0.2,"Git, Data Visualization, JavaScript, Machine Learning, Pandas",Gujranwala,185.160.97.196,DEV-F9Q5RDOQIV,5/5/2026,17:22:54,231,Yes,Yes,No,Software QA Intern,0
APP0051,Jessica Holmes,jessica.holmes293@gmail.com,381137194,24089-8229768-2,65,Other,COMSATS University Islamabad,MSc IT,2.82,1.2,"NumPy, Node.js, HTML/CSS",Karachi,99.230.143.212,DEV-9YE9O2M71H,6/19/2026,10:20:29,591,Yes,Yes,Yes,Business Analyst Intern,1
APP0052,Danny Morgan,danny.morgan824@gmail.com,379712957,69898-3498809-9,22,Female,Government College University Faisalabad,BS Artificial Intelligence,2.48,3,"Figma, Pandas, C++, Node.js",Sialkot,126.153.243.209,DEV-ALDOL65WVJ,6/26/2026,3:56:34,771,Yes,Yes,Yes,Data Science Intern,0
APP0053,Crystal Robinson,holly.valentine641@gmail.com,331529665,85047-2843740-3,20,Female,COMSATS University Islamabad,MSc IT,2.46,2.1,"C++, Java, SQL, Tableau, Deep Learning",Sialkot,166.74.143.24,DEV-VV7PGF7MVQ,5/26/2026,15:59:00,4,Yes,No,No,UI/UX Intern,1
APP0054,Mark Perez,mark.perez790@gmail.com,344477544,74094-6319061-7,25,Other,Government College University Faisalabad,BBA,2.69,1.7,"Scikit-learn, NumPy, Tableau, HTML/CSS, SQL",Multan,183.40.177.237,DEV-PJRHT7ZEWV,5/24/2026,12:58:05,231,Yes,Yes,Yes,Data Analytics Intern,0
APP0055,Shannon Jones,shannon.jones103@gmail.com,366541407,71918-2686863-2,20,Other,Government College University Faisalabad,BS Software Engineering,2.89,2.8,"Java, Deep Learning, HTML/CSS, Pandas, Node.js",Bahawalpur,16.45.118.137,DEV-04B7P47B42,5/19/2026,2:08:15,1139,Yes,No,Yes,Data Analytics Intern,0
APP0056,Michael Lewis,michael.lewis10@gmail.com,342800206,53914-5774152-7,27,Male,Islamia University Bahawalpur,BS Statistics,2.66,2.4,"Machine Learning, Statistics, React, Git",Lahore,189.172.151.146,DEV-YGVWOPLOD9,6/16/2026,8:32:55,511,No,Yes,Yes,Software QA Intern,0
APP0057,Timothy Duncan,timothy.duncan772@gmail.com,346530194,49576-1191859-4,25,Other,FAST-NUCES,BS Information Technology,3.34,1.4,"Scikit-learn, C++, HTML/CSS",Hyderabad,31.151.188.158,DEV-H8RQ9NZ612,5/22/2026,4:56:09,960,Yes,Yes,No,Machine Learning Intern,0
APP0058,Richard Aguirre,judy.baker508@gmail.com,379861274,57419-2310346-9,21,Male,Islamia University Bahawalpur,BS Data Science,3.17,0.4,"C++, Statistics, Power BI, Deep Learning",Hyderabad,150.250.46.231,DEV-S3QSQCQ30O,5/1/2026,7:01:35,943,Yes,Yes,Yes,Machine Learning Intern,1
APP0059,Brent Jordan,brent.jordan555@gmail.com,386123490,71875-1532422-4,26,Male,University of Sindh,BS Software Engineering,3.5,2.9,"NumPy, Scikit-learn, Statistics, Figma, C++",Karachi,175.68.178.31,DEV-GTT0IAAKYT,6/21/2026,15:29:42,568,Yes,Yes,Yes,UI/UX Intern,1
APP0060,John Daniel,john.daniel194@gmail.com,311540516,96533-8033690-9,20,Male,FAST-NUCES,BS Computer Science,2.37,0.1,"JavaScript, SQL",Rawalpindi,113.119.111.194,DEV-5CSK30LVYL,5/30/2026,7:09:43,1077,Yes,Yes,Yes,UI/UX Intern,0
APP0061,Victoria Garcia,victoria.garcia282@gmail.com,303938247,92050-8167236-8,27,Male,COMSATS University Islamabad,MSc IT,3.54,1,"Data Visualization, Tableau, HTML/CSS, Scikit-learn, Machine Learning",Sialkot,122.123.115.77,DEV-4FQCOOTNJL,5/8/2026,16:14:50,1124,Yes,Yes,Yes,Backend Developer Intern,0
APP0062,Gerald Hensley,gerald.hensley53@gmail.com,347327828,98299-1663497-1,23,Other,NED University Karachi,BS Data Science,3.01,2.6,"HTML/CSS, Python, Deep Learning, Node.js",Hyderabad,31.245.124.179,DEV-VH6T1NTMJS,6/18/2026,6:44:24,657,Yes,No,Yes,Business Analyst Intern,0
APP0063,Connor West,connor.west937@gmail.com,337219396,51015-7944595-0,23,Other,LUMS,BS Information Technology,2.64,2.8,"HTML/CSS, Tableau, Deep Learning, Pandas, JavaScript",Rawalpindi,146.125.255.141,DEV-XYJ38XRG2G,6/23/2026,1:32:42,680,Yes,No,No,Data Analytics Intern,0
APP0064,Donald Wright,donald.wright537@gmail.com,302247057,97584-1813936-0,26,Male,Islamia University Bahawalpur,BS Data Science,2.32,0.5,"C++, Statistics, NumPy",Lahore,159.247.249.5,DEV-ATATJ9A3Y3,5/18/2026,9:43:19,289,Yes,Yes,Yes,UI/UX Intern,0
APP0065,Jessica Callahan,jessica.callahan835@gmail.com,355484964,62022-2325722-5,26,Female,Bahauddin Zakariya University,BS Data Science,3.88,0.7,"SQL, Excel",Rawalpindi,98.193.243.15,DEV-WZC4XL9967,5/23/2026,7:23:41,396,Yes,Yes,Yes,UI/UX Intern,0
APP0066,Amber Kidd,amber.kidd48@gmail.com,315703878,81176-1552000-2,25,Male,FAST-NUCES,BS Software Engineering,3.48,2.1,"Excel, HTML/CSS, Machine Learning, JavaScript, Scikit-learn",Bahawalpur,139.169.196.194,DEV-02YC0MDICV,6/29/2026,14:24:34,1157,Yes,No,Yes,UI/UX Intern,0
APP0067,Tracy House,tracy.house803@gmail.com,379230960,39902-6969521-8,26,Female,LUMS,MSc IT,2.35,1.9,"Excel, Git, React",Islamabad,98.78.199.82,DEV-MD7Q1DDPUS,5/11/2026,0:41:23,206,Yes,Yes,Yes,Business Analyst Intern,0
APP0068,Carol Tucker,carol.tucker885@gmail.com,361207041,48253-7942580-6,21,Other,Government College University Faisalabad,BS Data Science,3.17,0.5,"Machine Learning, Tableau, React, HTML/CSS, Node.js",Peshawar,38.32.85.112,DEV-JK2N7ZRWQE,5/1/2026,15:46:08,1151,Yes,Yes,Yes,Business Analyst Intern,0
APP0069,James Brown,james.brown451@gmail.com,358224541,95332-3283789-4,25,Other,NED University Karachi,BS Data Science,3.01,0.5,"Pandas, HTML/CSS, Java, JavaScript, Git",Rawalpindi,72.201.186.30,DEV-7H9G1A07H2,5/7/2026,17:09:04,1018,Yes,Yes,Yes,Frontend Developer Intern,0
APP0070,William Baker,william.baker649@gmail.com,345060441,43119-3586094-6,26,Male,GC University Lahore,BS Statistics,3.19,1.6,"Node.js, SQL, NumPy, Excel, Power BI",Faisalabad,169.181.85.166,DEV-WUXX8L2DDH,6/20/2026,8:53:11,751,Yes,Yes,Yes,Data Science Intern,0
APP0071,Jordan Henderson,jordan.henderson475@gmail.com,399396422,29758-6787592-0,27,Male,UET Lahore,MSc IT,3.76,0.3,"NumPy, HTML/CSS, Pandas",Peshawar,201.105.247.90,DEV-RPZLK3E4XY,5/16/2026,22:58:22,1132,No,Yes,Yes,Frontend Developer Intern,0
APP0072,Whitney Peters,whitney.peters339@gmail.com,388153291,70562-4889890-6,22,Male,University of Agriculture Faisalabad,MSc IT,2.87,2.2,"Statistics, Figma, Data Visualization",Rawalpindi,2.109.105.72,DEV-13CD5GLQJ5,6/21/2026,5:39:54,1169,Yes,Yes,Yes,Machine Learning Intern,0
APP0073,Brittney Phillips,brittney.phillips357@gmail.com,358681625,90918-3894531-4,21,Other,LUMS,BS Artificial Intelligence,2.4,0.9,"NumPy, Tableau, C++",Rawalpindi,108.70.196.109,DEV-GWYX9TRFLQ,5/6/2026,4:55:23,1066,Yes,Yes,Yes,Data Science Intern,0
APP0074,Lauren Daniels,lauren.daniels987@gmail.com,389479842,95599-9304216-6,27,Female,NED University Karachi,BS Statistics,3.03,0.2,"JavaScript, HTML/CSS",Lahore,71.115.147.44,DEV-2U1RSUJT9T,5/5/2026,0:57:34,958,Yes,Yes,No,Machine Learning Intern,0
APP0075,Amy Silva,amy.silva754@gmail.com,335994727,14224-8545256-4,25,Male,GC University Lahore,BS Computer Science,3.52,0.7,"Git, Data Visualization, Machine Learning, Tableau",Faisalabad,209.105.30.146,DEV-MKTLZKJ49Y,5/10/2026,5:53:26,318,No,Yes,No,UI/UX Intern,0
APP0076,Sarah Moore,sarah.moore888@gmail.com,323226183,42725-3453557-5,23,Other,Punjab University College of IT,BS Statistics,2.44,1.9,"Scikit-learn, Statistics, Excel, Node.js, Git",Sialkot,192.142.188.117,DEV-8LA100QXMC,6/21/2026,21:17:57,587,Yes,Yes,Yes,UI/UX Intern,0
APP0077,Angela Lopez,angela.lopez331@gmail.com,346666591,81737-3191007-9,27,Female,Government College University Faisalabad,BS Information Technology,2.28,1.9,"Python, Power BI, Machine Learning, Statistics, C++",Lahore,110.103.67.226,DEV-XF7JXJN6FO,5/30/2026,15:53:17,923,Yes,Yes,Yes,Machine Learning Intern,0
APP0078,Megan Young,diane.evans190@gmail.com,338999489,20215-3226333-9,23,Other,University of Agriculture Faisalabad,BS Statistics,2.22,2.1,"Data Visualization, Tableau",Peshawar,19.117.196.23,DEV-0DL5E11E9F,6/21/2026,12:10:25,756,Yes,Yes,Yes,Backend Developer Intern,1
APP0079,Steve Sanchez,steve.sanchez644@gmail.com,327907345,90750-8421969-3,21,Male,LUMS,BS Computer Science,3.2,1.2,"Pandas, Tableau, JavaScript, React, Excel",Faisalabad,142.145.13.218,DEV-45HVGOX22I,6/7/2026,11:10:42,295,Yes,Yes,Yes,Data Analytics Intern,0
APP0080,Lisa Barnes,lisa.barnes370@gmail.com,353214305,60703-8060918-5,22,Female,University of Sindh,BS Computer Science,2.23,0.2,"Deep Learning, SQL, Figma, Scikit-learn",Sialkot,74.212.216.180,DEV-OXTFDC79FL,6/26/2026,22:29:51,829,Yes,Yes,Yes,UI/UX Intern,0
APP0081,Kelly Donovan,carrie.wright423@gmail.com,365003671,17589-5101689-1,26,Male,GC University Lahore,BS Information Technology,2.73,2.2,"Power BI, Python, Tableau",Hyderabad,3.83.254.244,DEV-MS3JN050E6,6/2/2026,12:37:56,1006,Yes,Yes,Yes,Machine Learning Intern,1
APP0082,Mike Allen,mike.allen509@gmail.com,379569497,57202-1930113-7,22,Female,LUMS,BBA,3.51,2.7,"JavaScript, C++",Lahore,12.6.125.12,DEV-QNF74T60PL,6/10/2026,9:56:53,1117,Yes,Yes,Yes,Business Analyst Intern,0
APP0083,Michael Evans,michael.evans123@gmail.com,381883692,33507-4744423-8,20,Female,University of the Punjab,BS Statistics,3.67,2.3,"Pandas, Excel, Node.js, Statistics",Lahore,95.102.149.145,DEV-20IN8910T2,5/15/2026,14:50:42,186,No,Yes,Yes,Data Analytics Intern,0
APP0084,Paul Jones,paul.jones974@gmail.com,351024528,96154-7312844-4,21,Male,Virtual University of Pakistan,BS Data Science,2.91,2.9,"React, Excel, SQL",Faisalabad,217.211.190.118,DEV-9DDE3CUP8I,5/26/2026,8:09:10,1051,Yes,Yes,Yes,Business Analyst Intern,0
APP0085,Zachary Ferrell,zachary.ferrell326@gmail.com,375562662,40619-2253047-3,22,Other,University of the Punjab,BS Software Engineering,2.38,1.3,"Data Visualization, Power BI, Node.js, NumPy",Faisalabad,116.157.237.68,DEV-4D3KZVH4FZ,6/4/2026,12:56:26,585,Yes,Yes,Yes,Frontend Developer Intern,0
APP0086,Daniel Baker,daniel.baker32@gmail.com,368586676,82869-5191831-1,27,Male,University of Sindh,BS Software Engineering,2.41,0.2,"Tableau, Deep Learning, Scikit-learn",Sargodha,176.43.132.235,DEV-3AC6PE63LB,6/14/2026,18:11:45,231,Yes,Yes,No,Data Science Intern,0
APP0087,Shirley Suarez,shirley.suarez509@gmail.com,307421134,99550-8158234-2,25,Male,Government College University Faisalabad,BS Software Engineering,2.67,1.3,"SQL, JavaScript, HTML/CSS",Peshawar,106.245.31.23,DEV-KEH5SW2292,6/4/2026,20:47:30,671,Yes,Yes,No,Business Analyst Intern,0
